lk_id,lk,bundesland,population,population_male,population_female,lk_movement
8315,Breisgau-Hochschwarzwald,Baden-Württemberg,264867,130620,134247,Landkreis Breisgau-Hochschwarzwald
8316,Emmendingen,Baden-Württemberg,166862,82600,84262,Landkreis Emmendingen
8317,Ortenaukreis,Baden-Württemberg,432580,215894,216686,Ortenaukreis
8325,Rottweil,Baden-Württemberg,140166,70101,70065,Landkreis Rottweil
8326,Schwarzwald-Baar-Kreis,Baden-Württemberg,212872,105493,107379,Schwarzwald-Baar-Kreis
8327,Tuttlingen,Baden-Württemberg,141682,71329,70353,Landkreis Tuttlingen
8335,Konstanz,Baden-Württemberg,286876,139527,147349,Landkreis Konstanz
8336,Lörrach,Baden-Württemberg,228842,112270,116572,Landkreis Lörrach
8337,Waldshut,Baden-Württemberg,171237,84980,86257,Landkreis Waldshut
8415,Reutlingen,Baden-Württemberg,287497,142572,144925,Landkreis Reutlingen
8416,Tübingen,Baden-Württemberg,228471,111380,117091,Landkreis Tübingen
8417,Zollernalbkreis,Baden-Württemberg,189862,94179,95683,Zollernalbkreis
8421,Stadtkreis Ulm,Baden-Württemberg,126405,62745,63660,Ulm
8425,Alb-Donau-Kreis,Baden-Württemberg,198204,99998,98206,Alb-Donau-Kreis
8426,Biberach,Baden-Württemberg,202250,101831,100419,Landkreis Biberach
8435,Bodenseekreis,Baden-Württemberg,217901,107350,110551,Bodenseekreis
8436,Ravensburg,Baden-Württemberg,285888,142446,143442,Landkreis Ravensburg
8437,Sigmaringen,Baden-Württemberg,130946,65716,65230,Landkreis Sigmaringen
9161,Ingolstadt,Bayern,136952,69201,67751,Ingolstadt
9162,Landeshauptstadt München,Bayern,1488202,725905,762297,München
9163,Rosenheim (Kreisfreie Stadt),Bayern,63591,31473,32118,Rosenheim
9171,Altötting,Bayern,111654,55249,56405,Landkreis Altötting
9172,Berchtesgadener Land,Bayern,106327,52320,54007,Landkreis Berchtesgadener Land
